model,cv_f1_mean,cv_f2_mean,cv_acc_mean,cv_recall_mean,threshold,composite,test_accuracy,test_f1,test_f2,test_recall,test_precision,test_roc_auc,TP,FP,FN,TN
A_combined_C2,0.9473,0.9512,0.9421,0.9540,0.4900,0.9661,0.9679,0.9706,0.9649,0.9612,0.9802,0.9963,99,2,4,82
B_combined_C5,0.9474,0.9527,0.9421,0.9563,0.4900,0.9730,0.9733,0.9756,0.9728,0.9709,0.9804,0.9960,100,2,3,82
C_wide_char,0.9441,0.9500,0.9384,0.9540,0.4600,0.9697,0.9679,0.9709,0.9709,0.9709,0.9709,0.9962,100,3,3,81
D_combined_lr,0.9539,0.9525,0.9497,0.9517,0.5300,0.9316,0.9412,0.9447,0.9252,0.9126,0.9792,0.9954,94,2,9,82
E_calibrated_svm,0.9515,0.9529,0.9472,0.9540,0.1500,0.9637,0.9465,0.9533,0.9751,0.9903,0.9189,0.9954,102,9,1,75
F_trigram_combined,0.9452,0.9504,0.9396,0.9540,0.5000,0.9625,0.9679,0.9703,0.9589,0.9515,0.9899,0.9966,98,1,5,83
