model,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_acc_mean,train_f1_mean,threshold,test_accuracy,test_f1,test_recall,test_precision,test_roc_auc,TP,FP,FN,TN
A_char_svm_C2,0.9809,0.0132,0.9810,0.9792,1.0000,0.5300,0.9697,0.9714,0.9444,1.0000,0.9981,102,0,6,90
B_char_svm_35,0.9809,0.0106,0.9810,0.9792,1.0000,0.5400,0.9697,0.9714,0.9444,1.0000,0.9988,102,0,6,90
C_char_svm_46,0.9781,0.0157,0.9790,0.9760,1.0000,0.5200,0.9747,0.9765,0.9630,0.9905,0.9990,104,1,4,89
D_combined_svm,0.9799,0.0111,0.9771,0.9781,1.0000,0.4700,0.9798,0.9813,0.9722,0.9906,0.9983,105,1,3,89
E_combined_lr,0.9681,0.0213,0.9600,0.9656,0.9981,0.5200,0.9545,0.9565,0.9167,1.0000,0.9990,99,0,9,90
F_word_svm_tri,0.9761,0.0123,0.9771,0.9739,1.0000,0.4400,0.9646,0.9677,0.9722,0.9633,0.9979,105,4,3,86
G_char_svm_C1,0.9800,0.0146,0.9790,0.9781,1.0000,0.5300,0.9697,0.9714,0.9444,1.0000,0.9983,102,0,6,90
H_char_svm_37,0.9809,0.0132,0.9810,0.9792,1.0000,0.5300,0.9747,0.9763,0.9537,1.0000,0.9990,103,0,5,90
